material_id,count,stability_score,formula_pretty,band_gap,density,formation_energy_per_atom,energy_above_hull,n_elements,ZT_proxy
mp-1177787,20,1.0,Li2VF6,1.9112,2.714482405028866,-3.129025682777777,0.020492059074075003,3,2.2030688689589883
mp-755600,20,1.0,Li4MnF7,1.9226,2.8716718298558,-3.027567125105363,0.025182329583334002,3,2.026972047167316
mp-755407,20,1.0,KVPCO7,1.842099999999999,2.325601273994507,-2.386515532444805,0.024138210454541002,5,1.8903491415862608
mp-753041,20,1.0,Li3MnF6,1.9074,3.030671389563601,-3.001187239793103,0.029160527000005,3,1.8888430702355308
mp-759809,20,1.0,V6O5F19,1.943,2.817530051703517,-2.738685165333334,0.022791417750006003,3,1.888627020818585
mp-1177748,20,1.0,Li2VOF4,1.8189000000000002,3.019322968679688,-3.020734968958333,0.015021017500004001,4,1.8197500142526775
mp-559840,20,1.0,LiV(SiO3)2,1.8873000000000002,3.235733075457526,-2.9623792220833343,0.012066047624999,4,1.7278608734394636
mp-759957,19,0.95,V2F7,1.8102,3.11379802873896,-3.120383067222223,0.0064417883333330005,2,1.8140276158327495
mp-1290585,18,0.9,LiVOF2,1.9785,3.223514228917897,-2.963131207666668,0.022814015749995,4,1.8186838522666158
mp-694964,17,0.85,Na4MnAl3Si3O16,1.7958,2.410868896109782,-2.766303603275862,0.004665328850307,5,2.0605541670991028
mp-772154,17,0.85,Na2VSiCO7,1.9359000000000002,2.561339706897579,-2.455030448979885,0.028426859548619003,5,1.8555491010553042
mp-764845,17,0.85,LiVOF3,1.8999000000000001,3.168384227117439,-2.97272118138889,0.020034169166676,4,1.782571426031778
mp-1038167,16,0.8,Mg30MnVO32,1.9997,3.5895122514058633,-2.9713172376239223,0.009906270572915,4,1.655306071860697
mp-1101555,14,0.7,Li2MoP4O13,1.8745999999999992,2.5107214539990093,-2.5919288902619053,0.012547427541672,4,1.9352317855547734
mp-743881,14,0.7,K2V3P4H4O19,1.9810999999999992,2.733170945856712,-2.399357096658482,0.0,5,1.7391391534644831
mp-777723,13,0.65,V3OF11,1.955099999999999,3.354357904139037,-2.897565248666666,0.010382913166675,3,1.6888561956438108
mp-18436,13,0.65,RbVP2O7,1.9638,3.25665894537226,-2.7390696667532453,0.0,4,1.6516876498615105
mp-1178903,12,0.6,VF3,1.6883,3.350707791134627,-3.235541796249999,0.0029862525000010002,2,1.6302715500260236
mp-776557,11,0.55,Na3V2(PO4)3,1.9166,3.043114264765429,-2.675392726653324,0.0,4,1.6850027862152026
mp-1199210,9,0.45,Li3MnP2(O3F2)2,1.7453,2.7375184408200193,-2.8026837271697973,0.0,5,1.7868453593754934
mp-554104,7,0.35,Ca9Fe(PO4)7,1.7533999999999992,3.042430413835895,-3.166883730166666,0.029154140620382,4,1.8251237833076561
mp-695983,7,0.35,Ca2Fe2Si5HO15,1.882099999999999,3.253765277746176,-2.9257334348499997,0.006141294650002,5,1.6923535459177013
mp-557519,6,0.3,CaCrF6,1.5339,3.027538056892251,-3.29080727,0.0,3,1.6672846085871809
mp-1574300,5,0.25,V2OF5,1.848799999999999,3.208063917365414,-3.042618501666667,0.004112301249999,3,1.7534536335071906
mp-757623,5,0.25,Li2Cr2Si4O11,1.855999999999999,3.03734512112593,-2.858575855877193,0.018769872894749,4,1.7467606841400536
mp-560997,4,0.2,KVF4,1.979299999999999,3.091363002412347,-3.224534616000007,0.0,3,2.0645648200821265
mp-28425,4,0.2,V3P4O15,1.9615999999999991,2.919557416499508,-2.653181553003246,0.013935566022729001,3,1.7826260659689874
mp-557659,4,0.2,KV4P7O24,1.923499999999999,3.036462293039392,-2.696043997493055,0.0,4,1.7078555308294359
mp-1180673,4,0.2,Li2CrF6,1.6887999999999992,3.048325971488122,-2.944295756296296,0.0019369727777780001,3,1.631165790199274
mp-1218364,4,0.2,SrCaTi2O6,1.9843000000000002,4.431878869731522,-3.535593126666666,0.018281597750004,4,1.5830026190826485
mp-14873,3,0.15,K4Nb8Si(P2O17)2,1.933199999999999,3.493474493158848,-2.942717447011205,0.0,5,1.6284245816815828
mp-557275,2,0.1,Ca3Mn2(Si2O7)2,1.9055,3.325839400119596,-3.100779451341829,0.016367318309173002,4,1.7765540536218714
mp-26595,2,0.1,Li5V2P5O18,1.9323000000000001,2.973277309695506,-2.707321444662698,0.020359484777770002,4,1.7594576365296513
mp-24392,2,0.1,Ca2Al2FeSi4BHO16,1.7852999999999999,3.214532810697874,-3.105086537608023,0.0029762081481520004,7,1.7245147576743358
mp-560016,2,0.1,NaNb2PO8,1.994399999999999,3.545306044573179,-2.903408520501847,0.0,4,1.6333022444847252
mp-754947,2,0.1,K2VPCO7,1.683799999999999,2.5403098952856773,-2.432625717220238,0.0,5,1.6124227905556425
mp-1022965,2,0.1,K3V2(PO4)3,1.8037,3.105597294304583,-2.642631507283928,0.028717092781255,4,1.5348135843677608
mp-1202865,1,0.05,Li3V2(PO4)3,1.9273,2.885538979305514,-2.702705422696428,0.024901213499999002,4,1.8051817678909787
mp-554702,1,0.05,NaZr2NiF11,1.8738000000000001,3.75056637586831,-3.577501869758632,0.0,4,1.7873357099742178
mp-753283,1,0.05,Li6NiOF6,1.8953000000000002,3.139770698097829,-2.8596973046428573,0.026964504642856,4,1.726235160592473
mp-25868,1,0.05,Mo(PO4)2,1.9817,2.711992231515324,-2.328986884025974,0.011319209090912,3,1.7018306883809766
mp-1101212,1,0.05,V4OF11,1.7298,3.601772393373397,-3.1310400509375,0.002462159895833,3,1.5037239960948876
